,Ticker,TckrSymb,SgmtNm,Validade,Tipo,Days,Strike,Ticker1,TckrSymb1
38,COGN3,COGNT100,EQUITY PUT,2020-08-17,EURO,26,9.8,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNT100
107,VVAR3,VVART220,EQUITY PUT,2020-08-17,EURO,26,22.0,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVART220
36,COGN3,COGNH100,EQUITY CALL,2020-08-17,AMER,26,9.8,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNH100
50,IRBR3,IRBRH950,EQUITY CALL,2020-08-17,EURO,26,8.76,=@BULLDDE|MOFV!IRBR3,=@BULLDDE|MOFC!IRBRH950
52,IRBR3,IRBRT950,EQUITY PUT,2020-08-17,EURO,26,8.76,=@BULLDDE|MOFV!IRBR3,=@BULLDDE|MOFC!IRBRT950
90,USIM5,USIMT760,EQUITY PUT,2020-08-17,EURO,26,7.56,=@BULLDDE|MOFV!USIM5,=@BULLDDE|MOFC!USIMT760
40,CSNA3,CSNAT119,EQUITY PUT,2020-08-17,EURO,26,11.94,=@BULLDDE|MOFV!CSNA3,=@BULLDDE|MOFC!CSNAT119
43,CYRE3,CYRET280,EQUITY PUT,2020-08-17,EURO,26,28.0,=@BULLDDE|MOFV!CYRE3,=@BULLDDE|MOFC!CYRET280
88,USIM5,USIMH760,EQUITY CALL,2020-08-17,AMER,26,7.56,=@BULLDDE|MOFV!USIM5,=@BULLDDE|MOFC!USIMH760
80,PETR4,PETRT25,EQUITY PUT,2020-08-17,EURO,26,23.53,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRT25
105,VVAR3,VVARH220,EQUITY CALL,2020-08-17,AMER,26,22.0,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVARH220
25,BBDC4,BBDCT231,EQUITY PUT,2020-08-17,EURO,26,23.1,=@BULLDDE|MOFV!BBDC4,=@BULLDDE|MOFC!BBDCT231
108,VVAR3,VVARU220,EQUITY PUT,2020-09-21,EURO,61,22.0,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVARU220
67,MRFG3,MRFGH45,EQUITY CALL,2020-08-17,AMER,26,15.5,=@BULLDDE|MOFV!MRFG3,=@BULLDDE|MOFC!MRFGH45
48,GGBR4,GGBRT164,EQUITY PUT,2020-08-17,EURO,26,16.47,=@BULLDDE|MOFV!GGBR4,=@BULLDDE|MOFC!GGBRT164
37,COGN3,COGNI980,EQUITY CALL,2020-09-21,AMER,61,9.8,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNI980
44,GGBR4,GGBRH162,EQUITY CALL,2020-08-17,EURO,26,16.22,=@BULLDDE|MOFV!GGBR4,=@BULLDDE|MOFC!GGBRH162
79,PETR4,PETRT214,EQUITY PUT,2020-08-17,EURO,26,23.28,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRT214
16,BBAS3,BBAST360,EQUITY PUT,2020-08-17,EURO,26,36.03,=@BULLDDE|MOFV!BBAS3,=@BULLDDE|MOFC!BBAST360
65,JBSS3,JBSSH22,EQUITY CALL,2020-08-17,AMER,26,22.46,=@BULLDDE|MOFV!JBSS3,=@BULLDDE|MOFC!JBSSH22
93,VALE3,VALEH598,EQUITY CALL,2020-08-17,AMER,26,59.8,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH598
63,ITUB4,ITUBT276,EQUITY PUT,2020-08-17,EURO,26,27.64,=@BULLDDE|MOFV!ITUB4,=@BULLDDE|MOFC!ITUBT276
15,BBAS3,BBAST357,EQUITY PUT,2020-08-17,EURO,26,35.78,=@BULLDDE|MOFV!BBAS3,=@BULLDDE|MOFC!BBAST357
34,CMIG4,CMIGT115,EQUITY PUT,2020-08-17,EURO,26,11.7,=@BULLDDE|MOFV!CMIG4,=@BULLDDE|MOFC!CMIGT115
1,ABEV3,ABEVH14,EQUITY CALL,2020-08-17,AMER,26,14.08,=@BULLDDE|MOFV!ABEV3,=@BULLDDE|MOFC!ABEVH14
47,GGBR4,GGBRT162,EQUITY PUT,2020-08-17,EURO,26,16.22,=@BULLDDE|MOFV!GGBR4,=@BULLDDE|MOFC!GGBRT162
51,IRBR3,IRBRI952,EQUITY CALL,2020-09-21,EURO,61,8.78,=@BULLDDE|MOFV!IRBR3,=@BULLDDE|MOFC!IRBRI952
94,VALE3,VALEH603,EQUITY CALL,2020-08-17,EURO,26,60.3,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH603
41,CYRE3,CYREH280,EQUITY CALL,2020-08-17,AMER,26,28.0,=@BULLDDE|MOFV!CYRE3,=@BULLDDE|MOFC!CYREH280
24,BBDC4,BBDCT228,EQUITY PUT,2020-08-17,EURO,26,22.85,=@BULLDDE|MOFV!BBDC4,=@BULLDDE|MOFC!BBDCT228
