,Ticker,TckrSymb,SgmtNm,Validade,Tipo,Days,Strike,IQ,Ticker1,TckrSymb1
1,PETR4,PETRA25,EQUITY CALL,2021-01-18,AMER,177,25.0,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRA25
3,PETR4,PETRG25,EQUITY CALL,2022-07-15,AMER,720,25.0,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRG25
4,PETR4,PETRH231,EQUITY CALL,2020-08-17,EURO,23,25.78,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH231
5,PETR4,PETRH246,EQUITY CALL,2020-08-17,AMER,23,26.03,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH246
6,PETR4,PETRH255,EQUITY CALL,2020-08-17,AMER,23,25.03,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH255
7,PETR4,PETRH259,EQUITY CALL,2020-08-17,EURO,23,25.28,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH259
8,PETR4,PETRH26,EQUITY CALL,2020-08-17,EURO,23,26.28,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH26
9,PETR4,PETRH262,EQUITY CALL,2020-08-17,AMER,23,25.53,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH262
10,PETR4,PETRH271,EQUITY CALL,2020-08-17,EURO,23,26.78,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH271
11,PETR4,PETRH28,EQUITY CALL,2020-08-17,AMER,23,26.53,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH28
12,PETR4,PETRI239,EQUITY CALL,2020-09-21,EURO,58,25.78,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI239
13,PETR4,PETRI250,EQUITY CALL,2020-09-21,AMER,58,25.03,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI250
14,PETR4,PETRI256,EQUITY CALL,2020-09-21,EURO,58,25.28,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI256
15,PETR4,PETRI260,EQUITY CALL,2020-09-21,AMER,58,26.03,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI260
16,PETR4,PETRI263,EQUITY CALL,2020-09-21,AMER,58,25.53,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI263
17,PETR4,PETRI269,EQUITY CALL,2020-09-21,EURO,58,26.28,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI269
18,PETR4,PETRI273,EQUITY CALL,2020-09-21,AMER,58,26.53,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI273
19,PETR4,PETRI274,EQUITY CALL,2020-09-21,EURO,58,26.78,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI274
21,PETR4,PETRJ265,EQUITY CALL,2020-10-19,AMER,86,26.03,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRJ265
24,PETR4,PETRL256,EQUITY CALL,2021-12-17,AMER,510,25.64,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRL256
26,PETR4,PETRL26,EQUITY CALL,2020-12-21,AMER,149,26.11,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRL26
27,PETR4,PETRL260,EQUITY CALL,2020-12-21,AMER,149,25.11,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRL260
28,PETR4,PETRL280,EQUITY CALL,2020-12-21,AMER,149,26.61,,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRL280
32,VALE3,VALEH638,EQUITY CALL,2020-08-17,AMER,23,63.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH638
33,VALE3,VALEH648,EQUITY CALL,2020-08-17,AMER,23,64.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH648
34,VALE3,VALEH65,EQUITY CALL,2020-08-17,EURO,23,64.3,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH65
35,VALE3,VALEH653,EQUITY CALL,2020-08-17,EURO,23,65.3,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH653
36,VALE3,VALEH658,EQUITY CALL,2020-08-17,AMER,23,65.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH658
37,VALE3,VALEH663,EQUITY CALL,2020-08-17,EURO,23,66.3,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH663
38,VALE3,VALEH668,EQUITY CALL,2020-08-17,AMER,23,66.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH668
39,VALE3,VALEH678,EQUITY CALL,2020-08-17,AMER,23,67.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH678
40,VALE3,VALEH688,EQUITY CALL,2020-08-17,AMER,23,68.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH688
41,VALE3,VALEI638,EQUITY CALL,2020-09-21,AMER,58,63.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEI638
42,VALE3,VALEI648,EQUITY CALL,2020-09-21,AMER,58,64.8,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEI648
43,VALE3,VALEI653,EQUITY CALL,2020-09-21,EURO,58,65.3,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEI653
44,VALE3,VALEI655,EQUITY CALL,2020-09-21,EURO,58,64.3,,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEI655
