RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2020-07-23,ABEVH13,BRABEV3H06Q8,EQUITY CALL,"1,6","1,72","1,67","1,69",,"1,64",41,68200,13.08,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH14,BRABEV3H0703,EQUITY CALL,"0,97","1,25","1,03","1,04",,"0,98",98,360400,14.08,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH15,BRABEV3H06V8,EQUITY CALL,"0,49","0,71","0,54","0,53",,"0,53",333,2095200,15.08,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH153,BRABEV3H0711,EQUITY CALL,"0,42","0,5","0,44","0,44",,"0,45",16,34600,15.33,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVH158,BRABEV3H06J3,EQUITY CALL,"0,29","0,4","0,34","0,32",,"0,31",19,17200,15.83,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVH16,BRABEV3H06Y2,EQUITY CALL,"0,23","0,35","0,26","0,27",,"0,26",311,303400,16.08,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH160,BRABEV3H0729,EQUITY CALL,"1,23","2,6","2,34","2,46",,"2,74",11,3200,16.0,ABEV3,2022-08-19,AMER,0.0
2020-07-23,ABEVH178,BRABEV3H0687,EQUITY CALL,"0,14","0,19","0,15","0,16",,"0,15",21,49800,16.83,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVH183,BRABEV3H06F1,EQUITY CALL,"0,07","0,14","0,08","0,08",,"0,07",16,14700,17.83,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVH185,BRABEV3H06I5,EQUITY CALL,"0,04","0,08","0,07","0,08",,"0,05",13,4500,18.08,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH187,BRABEV3H0695,EQUITY CALL,"0,04","0,04","0,04","0,04",,"0,04",2,200,18.33,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVH193,BRABEV3H06B0,EQUITY CALL,"0,05","0,05","0,05","0,05",,"0,03",1,100,18.83,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVH205,BRABEV3H06G9,EQUITY CALL,"0,03","0,03","0,03","0,03",,"0,01",7,9800,20.08,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH30,BRABEV3H0679,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",7,8600,30.08,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH43,BRABEV3H06N5,EQUITY CALL,"1,06","1,39","1,28","1,33",,"1,29",15,92100,13.58,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH44,BRABEV3H06P0,EQUITY CALL,"0,71","0,95","0,8","0,74",,"0,73",134,216700,14.58,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH45,BRABEV3H06U0,EQUITY CALL,"0,34","0,5","0,37","0,38",,"0,37",318,306000,15.58,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVH46,BRABEV3H06K1,EQUITY CALL,"0,16","0,24","0,19","0,19",,"0,18",70,55200,16.58,ABEV3,2020-08-17,AMER,0.0
2020-07-23,ABEVI140,BRABEV3I0744,EQUITY CALL,"1,2","1,42","1,24","1,22",,"1,19",9,22200,14.08,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI145,BRABEV3I06W4,EQUITY CALL,"0,94","1,13",1,"0,97",,"0,94",116,228400,14.58,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI150,BRABEV3I0702,EQUITY CALL,"0,74","0,84","0,78","0,75",,"0,73",73,42200,15.08,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI155,BRABEV3I0751,EQUITY CALL,"0,56","0,74","0,58","0,56",,"0,56",32,45000,15.58,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI160,BRABEV3I06X2,EQUITY CALL,"0,44","0,52","0,49","0,45",,"0,43",36,26200,16.08,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI165,BRABEV3I0736,EQUITY CALL,"0,31","0,32","0,31","0,32",,"0,33",7,6200,16.58,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI168,BRABEV3I0777,EQUITY CALL,"0,32","0,35","0,34","0,32",,"0,28",6,6400,16.83,ABEV3,2020-09-21,EURO,0.0
2020-07-23,ABEVI170,BRABEV3I06N3,EQUITY CALL,"0,24","0,25","0,24","0,25",,"0,25",7,3000,17.08,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI185,BRABEV3I06O1,EQUITY CALL,"0,13","0,13","0,13","0,13",,"0,11",4,13600,18.58,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVI203,BRABEV3I06M5,EQUITY CALL,"0,05","0,06","0,05","0,06",,"0,05",4,65500,20.33,ABEV3,2020-09-21,EURO,0.0
2020-07-23,ABEVI215,BRABEV3I06P8,EQUITY CALL,"0,04","0,06","0,04","0,04",,"0,03",6,35400,21.58,ABEV3,2020-09-21,AMER,0.0
2020-07-23,ABEVJ150,BRABEV3J06A8,EQUITY CALL,"0,92","0,92","0,92","0,92",,"0,88",1,1000,15.08,ABEV3,2020-10-19,AMER,0.0
2020-07-23,ABEVJ160,BRABEV3J06F7,EQUITY CALL,"0,6","0,6","0,6","0,6",,"0,55",2,6800,16.08,ABEV3,2020-10-19,AMER,0.0
