Asst,OptnTp,TradgEndDt,TckrSymb,OptnStyle,ExrcPric,,9/21/2020,8/17/2020,7/20/2020,Asst,Cotação,7/20/2020,8/17/2020,9/21/2020,
ABEV3,Call,7/20/2020,ABEVG10,AMER,10.08,,,,,ABEV3,13.95,,,,
ABEV3,Call,7/20/2020,ABEVG11,AMER,11.08,,,,,ALPA4,,,,,
ABEV3,Call,7/20/2020,ABEVG120,AMER,12.08,,,,,ALSO3,,,,,0.25
ABEV3,Call,7/20/2020,ABEVG130,AMER,13.08,,,,,ALUP11,,,,,
ABEV3,Call,7/20/2020,ABEVG14,AMER,14.08,,,,,ARZZ3,,,,,
ABEV3,Call,7/20/2020,ABEVG150,AMER,15.08,,,,,AZUL4,,,,,
ABEV3,Call,7/20/2020,ABEVG158,EURO,15.83,,,,,B3SA3,,,,,
ABEV3,Call,7/20/2020,ABEVG16,AMER,16.08,,,,,BBAS3,,,,,
ABEV3,Call,7/20/2020,ABEVG160,AMER,15.58,,,,,BBDC3,,,,,
ABEV3,Call,7/20/2020,ABEVG17,AMER,16.58,,,,,BBDC4,,,,,
ABEV3,Call,7/20/2020,ABEVG192,EURO,18.83,,,,,BBSE3,,,,,
ABEV3,Call,7/20/2020,ABEVG20,AMER,19.58,,,,,BEEF3,,,,,
ABEV3,Call,7/20/2020,ABEVG212,EURO,20.83,,,,,BIDI11,,,,,
ABEV3,Call,7/20/2020,ABEVG220,AMER,21.58,,,,,BIDI4,,,,,
ABEV3,Call,7/20/2020,ABEVG230,AMER,22.58,,,,,BKBR3,,,,,
ABEV3,Call,7/20/2020,ABEVG240,AMER,23.58,,,,,BMGB4,,,,,
ABEV3,Call,7/20/2020,ABEVG245,AMER,24.08,,,,,BOVA11,,,,,
ABEV3,Call,7/20/2020,ABEVG40,AMER,10.58,,,,,BOVB11,,,,,
ABEV3,Call,7/20/2020,ABEVG41,AMER,11.58,,,,,BOVV11,,,,,
ABEV3,Call,7/20/2020,ABEVG42,AMER,12.58,,,,,BPAC11,,,,,
ABEV3,Call,7/20/2020,ABEVG43,AMER,13.58,,,,,BPAN4,,,,,
ABEV3,Call,7/20/2020,ABEVG44,AMER,14.58,,,,,BRAP4,,,,,
ABEV3,Call,7/20/2020,ABEVG49,AMER,19.08,,,,,BRAX11,,,,,
ABEV3,Call,7/20/2020,ABEVG933,AMER,9.33,,,,,BRDT3,,,,,
ABEV3,Call,7/20/2020,ABEVG943,EURO,9.43,,,,,BRFS3,,,,,
ABEV3,Call,7/20/2020,ABEVG96,AMER,9.73,,,,,BRKM5,,,,,
ABEV3,Call,8/17/2020,ABEVH10,AMER,10.08,,,,,BRML3,,,,,
ABEV3,Call,8/17/2020,ABEVH11,AMER,11.08,,,,,BRSR6,,,,,
ABEV3,Call,8/17/2020,ABEVH12,AMER,12.08,,,,,BTOW3,,,,,
ABEV3,Call,8/17/2020,ABEVH13,AMER,13.08,,,,,CCRO3,,,,,
