,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
1548,2020-07-09,ABEVG130,BRABEV3G0753,EQUITY CALL,"1,56","1,7","1,62","1,56",,"1,59",10,22100,13.08,ABEV3,2020-07-20,AMER,14.81
1549,2020-07-09,ABEVG14,BRABEV3G0787,EQUITY CALL,"0,66","0,88","0,75","0,74",,"0,72",59,343800,14.08,ABEV3,2020-07-20,AMER,14.81
1550,2020-07-09,ABEVG140,BRABEV3G07I5,EQUITY CALL,"3,5","3,5","3,5","3,5",,"4,37",2,2000,14.0,ABEV3,2022-07-15,AMER,14.81
1551,2020-07-09,ABEVG150,BRABEV3G07H7,EQUITY CALL,"0,17","0,29","0,21","0,21",,"0,19",454,1350200,15.08,ABEV3,2020-07-20,AMER,14.81
1552,2020-07-09,ABEVG158,BRABEV3G0738,EQUITY CALL,"0,06","0,08","0,06","0,06",,"0,05",13,32100,15.83,ABEV3,2020-07-20,EURO,14.81
1553,2020-07-09,ABEVG16,BRABEV3G0720,EQUITY CALL,"0,04","0,07","0,05","0,05",,"0,03",49,27300,16.08,ABEV3,2020-07-20,AMER,14.81
1554,2020-07-09,ABEVG160,BRABEV3G06E6,EQUITY CALL,"0,08","0,16","0,09","0,11",,"0,08",130,279000,15.58,ABEV3,2020-07-20,AMER,14.81
1555,2020-07-09,ABEVG17,BRABEV3G06U2,EQUITY CALL,"0,02","0,05","0,02","0,02",,"0,01",26,66800,16.58,ABEV3,2020-07-20,AMER,14.81
1556,2020-07-09,ABEVG192,BRABEV3G06L1,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",3,1100,18.83,ABEV3,2020-07-20,EURO,14.81
1557,2020-07-09,ABEVG20,BRABEV3G06Z1,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",2,8400,19.58,ABEV3,2020-07-20,AMER,14.81
1562,2020-07-09,ABEVG240,BRABEV3G05P4,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",1,100,23.58,ABEV3,2020-07-20,AMER,14.81
1563,2020-07-09,ABEVG245,BRABEV3G06R8,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",6,20000,24.08,ABEV3,2020-07-20,AMER,14.81
1565,2020-07-09,ABEVG41,BRABEV3G07C8,EQUITY CALL,3,3,3,3,,"3,07",1,100,11.58,ABEV3,2020-07-20,AMER,14.81
1566,2020-07-09,ABEVG42,BRABEV3G0779,EQUITY CALL,"2,16","2,3","2,17","2,17",,"2,08",3,2100,12.58,ABEV3,2020-07-20,AMER,14.81
1567,2020-07-09,ABEVG43,BRABEV3G0761,EQUITY CALL,"1,09","1,3","1,12","1,15",,"1,13",20,14300,13.58,ABEV3,2020-07-20,AMER,14.81
1568,2020-07-09,ABEVG44,BRABEV3G07B0,EQUITY CALL,"0,37","0,53","0,43","0,4",,"0,4",93,260900,14.58,ABEV3,2020-07-20,AMER,14.81
1569,2020-07-09,ABEVG49,BRABEV3G06V0,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",1,1000,19.08,ABEV3,2020-07-20,AMER,14.81
1577,2020-07-09,ABEVH14,BRABEV3H0703,EQUITY CALL,"1,06","1,15","1,1","1,13",,"1,11",7,46700,14.08,ABEV3,2020-08-17,AMER,14.81
1578,2020-07-09,ABEVH15,BRABEV3H06V8,EQUITY CALL,"0,56","0,68","0,61","0,62",,"0,59",91,305200,15.08,ABEV3,2020-08-17,AMER,14.81
1579,2020-07-09,ABEVH158,BRABEV3H06J3,EQUITY CALL,"0,33","0,37","0,33","0,35",,"0,34",9,21300,15.83,ABEV3,2020-08-17,EURO,14.81
1580,2020-07-09,ABEVH16,BRABEV3H06Y2,EQUITY CALL,"0,27","0,31","0,28","0,29",,"0,28",51,154800,16.08,ABEV3,2020-08-17,AMER,14.81
1581,2020-07-09,ABEVH178,BRABEV3H0687,EQUITY CALL,"0,15","0,18","0,16","0,15",,"0,15",13,10800,16.83,ABEV3,2020-08-17,EURO,14.81
1582,2020-07-09,ABEVH183,BRABEV3H06F1,EQUITY CALL,"0,07","0,08","0,07","0,08",,"0,07",19,2427900,17.83,ABEV3,2020-08-17,EURO,14.81
1586,2020-07-09,ABEVH205,BRABEV3H06G9,EQUITY CALL,"0,03","0,1","0,05","0,03",,"0,01",5,5100,20.08,ABEV3,2020-08-17,AMER,14.81
1587,2020-07-09,ABEVH212,BRABEV3H06A2,EQUITY CALL,"0,02","0,02","0,02","0,02",,"0,01",1,2500,20.83,ABEV3,2020-08-17,EURO,14.81
1590,2020-07-09,ABEVH30,BRABEV3H0679,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",4,52100,30.08,ABEV3,2020-08-17,AMER,14.81
1594,2020-07-09,ABEVH43,BRABEV3H06N5,EQUITY CALL,"1,45","1,53","1,47","1,45",,"1,45",7,5500,13.58,ABEV3,2020-08-17,AMER,14.81
1595,2020-07-09,ABEVH44,BRABEV3H06P0,EQUITY CALL,"0,78","0,96","0,86","0,86",,"0,82",24,80700,14.58,ABEV3,2020-08-17,AMER,14.81
1596,2020-07-09,ABEVH45,BRABEV3H06U0,EQUITY CALL,"0,38","0,5","0,43","0,44",,"0,41",26,60300,15.58,ABEV3,2020-08-17,AMER,14.81
1597,2020-07-09,ABEVH46,BRABEV3H06K1,EQUITY CALL,"0,18","0,2","0,18","0,2",,"0,19",199,153800,16.58,ABEV3,2020-08-17,AMER,14.81
1611,2020-07-09,ABEVI150,BRABEV3I0702,EQUITY CALL,"0,84","1,08","1,07","1,08",,"0,83",3,16400,15.08,ABEV3,2020-09-21,AMER,14.81
1614,2020-07-09,ABEVI165,BRABEV3I0736,EQUITY CALL,"0,4","0,4","0,4","0,4",,"0,36",1,8000,16.58,ABEV3,2020-09-21,AMER,14.81
1615,2020-07-09,ABEVI167,BRABEV3I06J1,EQUITY CALL,"0,4","0,46","0,45","0,46",,"0,42",2,2200,16.33,ABEV3,2020-09-21,EURO,14.81
1616,2020-07-09,ABEVI168,BRABEV3I0777,EQUITY CALL,"0,31","0,31","0,31","0,31",,"0,31",1,100,16.83,ABEV3,2020-09-21,EURO,14.81
1617,2020-07-09,ABEVI170,BRABEV3I06N3,EQUITY CALL,"0,24","0,28","0,25","0,25",,"0,26",5,9400,17.08,ABEV3,2020-09-21,AMER,14.81
1623,2020-07-09,ABEVI215,BRABEV3I06P8,EQUITY CALL,"0,04","0,04","0,04","0,04",,"0,02",1,300,21.58,ABEV3,2020-09-21,AMER,14.81
1668,2020-07-09,ABEVS10,BRABEV3S07D1,EQUITY PUT,"0,01","0,01","0,01","0,01",,"0,01",3,2600,10.08,ABEV3,2020-07-20,EURO,14.81
1669,2020-07-09,ABEVS11,BRABEV3S0791,EQUITY PUT,"0,01","0,01","0,01","0,01",,"0,01",4,5000,11.08,ABEV3,2020-07-20,EURO,14.81
1670,2020-07-09,ABEVS120,BRABEV3S0726,EQUITY PUT,"0,01","0,02","0,01","0,02",,"0,01",3,400,12.08,ABEV3,2020-07-20,EURO,14.81
1671,2020-07-09,ABEVS130,BRABEV3S0767,EQUITY PUT,"0,03","0,05","0,04","0,04",,"0,03",19,56100,13.08,ABEV3,2020-07-20,EURO,14.81
1672,2020-07-09,ABEVS14,BRABEV3S07E9,EQUITY PUT,"0,12","0,19","0,14","0,15",,"0,16",25,32500,14.08,ABEV3,2020-07-20,EURO,14.81
1673,2020-07-09,ABEVS140,BRABEV3S07J8,EQUITY PUT,"2,4","2,41","2,4","2,4",,"2,76",22,4100,14.0,ABEV3,2022-07-15,EURO,14.81
1674,2020-07-09,ABEVS150,BRABEV3S07I0,EQUITY PUT,"0,56","0,68","0,6","0,57",,"0,62",34,77900,15.08,ABEV3,2020-07-20,EURO,14.81
1687,2020-07-09,ABEVS40,BRABEV3S0775,EQUITY PUT,"0,01","0,01","0,01","0,01",,"0,01",1,1000,10.58,ABEV3,2020-07-20,EURO,14.81
1688,2020-07-09,ABEVS41,BRABEV3S07B5,EQUITY PUT,"0,01","0,01","0,01","0,01",,"0,01",3,1700,11.58,ABEV3,2020-07-20,EURO,14.81
1689,2020-07-09,ABEVS42,BRABEV3S0783,EQUITY PUT,"0,02","0,03","0,02","0,02",,"0,01",11,8600,12.58,ABEV3,2020-07-20,EURO,14.81
1690,2020-07-09,ABEVS43,BRABEV3S07C3,EQUITY PUT,"0,07","0,09","0,07","0,07",,"0,07",29,31800,13.58,ABEV3,2020-07-20,EURO,14.81
1691,2020-07-09,ABEVS44,BRABEV3S07A7,EQUITY PUT,"0,28","0,38","0,32","0,3",,"0,33",21,83400,14.58,ABEV3,2020-07-20,EURO,14.81
