,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
1533,6/29/2020,ABEVG120,BRABEV3G0712,EQUITY CALL,"2,35","2,35","2,35","2,35",,"2,29",1,4000,12.08,ABEV3,7/20/2020,AMER,14.31
1534,6/29/2020,ABEVG130,BRABEV3G0753,EQUITY CALL,"1,31","1,45","1,36","1,45",,"1,39",6,23300,13.08,ABEV3,7/20/2020,AMER,14.31
1535,6/29/2020,ABEVG14,BRABEV3G0787,EQUITY CALL,"0,49","0,77","0,67","0,71",,"0,67",92,145800,14.08,ABEV3,7/20/2020,AMER,14.31
1536,6/29/2020,ABEVG150,BRABEV3G07H7,EQUITY CALL,"0,19","0,31","0,26","0,26",,"0,25",713,2447800,15.08,ABEV3,7/20/2020,AMER,14.31
1537,6/29/2020,ABEVG158,BRABEV3G0738,EQUITY CALL,"0,11","0,14","0,11","0,13",,"0,12",5,22900,15.83,ABEV3,7/20/2020,EURO,14.31
1538,6/29/2020,ABEVG16,BRABEV3G0720,EQUITY CALL,"0,08","0,12","0,1","0,09",,"0,09",115,162700,16.08,ABEV3,7/20/2020,AMER,14.31
1539,6/29/2020,ABEVG160,BRABEV3G06E6,EQUITY CALL,"0,12","0,19","0,16","0,17",,"0,15",119,313900,15.58,ABEV3,7/20/2020,AMER,14.31
1540,6/29/2020,ABEVG17,BRABEV3G06U2,EQUITY CALL,"0,06","0,08","0,06","0,06",,"0,07",61,162000,16.58,ABEV3,7/20/2020,AMER,14.31
1541,6/29/2020,ABEVG192,BRABEV3G06L1,EQUITY CALL,"0,02","0,03","0,02","0,02",,"0,02",2,3000,18.83,ABEV3,7/20/2020,EURO,14.31
1542,6/29/2020,ABEVG20,BRABEV3G06Z1,EQUITY CALL,"0,01","0,03","0,02","0,03",,"0,01",39,214300,19.58,ABEV3,7/20/2020,AMER,14.31
1545,6/29/2020,ABEVG220,BRABEV3G06I7,EQUITY CALL,"0,01","0,02","0,01","0,02",,"0,01",2,400,21.58,ABEV3,7/20/2020,AMER,14.31
1546,6/29/2020,ABEVG230,BRABEV3G06H9,EQUITY CALL,"0,01","0,02","0,01","0,01",,"0,01",8,5300,22.58,ABEV3,7/20/2020,AMER,14.31
