,Ticker,Tipo,SgmtNm,TckrSymb,Validade,Strike,TradQty
1533,ABEV3,AMER,EQUITY CALL,ABEVG120,2020-07-20,12.08,1
1534,ABEV3,AMER,EQUITY CALL,ABEVG130,2020-07-20,13.08,6
1535,ABEV3,AMER,EQUITY CALL,ABEVG14,2020-07-20,14.08,92
1536,ABEV3,AMER,EQUITY CALL,ABEVG150,2020-07-20,15.08,713
1537,ABEV3,EURO,EQUITY CALL,ABEVG158,2020-07-20,15.83,5
1538,ABEV3,AMER,EQUITY CALL,ABEVG16,2020-07-20,16.08,115
1539,ABEV3,AMER,EQUITY CALL,ABEVG160,2020-07-20,15.58,119
1540,ABEV3,AMER,EQUITY CALL,ABEVG17,2020-07-20,16.58,61
1541,ABEV3,EURO,EQUITY CALL,ABEVG192,2020-07-20,18.83,2
1542,ABEV3,AMER,EQUITY CALL,ABEVG20,2020-07-20,19.58,39
1545,ABEV3,AMER,EQUITY CALL,ABEVG220,2020-07-20,21.58,2
1546,ABEV3,AMER,EQUITY CALL,ABEVG230,2020-07-20,22.58,8
1547,ABEV3,AMER,EQUITY CALL,ABEVG240,2020-07-20,23.58,7
1548,ABEV3,AMER,EQUITY CALL,ABEVG245,2020-07-20,24.08,17
1551,ABEV3,AMER,EQUITY CALL,ABEVG42,2020-07-20,12.58,12
1552,ABEV3,AMER,EQUITY CALL,ABEVG43,2020-07-20,13.58,35
1553,ABEV3,AMER,EQUITY CALL,ABEVG44,2020-07-20,14.58,163
1554,ABEV3,AMER,EQUITY CALL,ABEVG49,2020-07-20,19.08,18
1562,ABEV3,AMER,EQUITY CALL,ABEVH14,2020-08-17,14.08,15
1563,ABEV3,AMER,EQUITY CALL,ABEVH15,2020-08-17,15.08,20
1564,ABEV3,EURO,EQUITY CALL,ABEVH158,2020-08-17,15.83,10
1565,ABEV3,AMER,EQUITY CALL,ABEVH16,2020-08-17,16.08,6
1566,ABEV3,EURO,EQUITY CALL,ABEVH178,2020-08-17,16.83,9
1567,ABEV3,EURO,EQUITY CALL,ABEVH183,2020-08-17,17.83,1
1573,ABEV3,EURO,EQUITY CALL,ABEVH222,2020-08-17,21.83,1
1575,ABEV3,AMER,EQUITY CALL,ABEVH30,2020-08-17,30.08,14
1579,ABEV3,AMER,EQUITY CALL,ABEVH43,2020-08-17,13.58,9
1580,ABEV3,AMER,EQUITY CALL,ABEVH44,2020-08-17,14.58,15
1581,ABEV3,AMER,EQUITY CALL,ABEVH45,2020-08-17,15.58,10
1582,ABEV3,AMER,EQUITY CALL,ABEVH46,2020-08-17,16.58,14
1594,ABEV3,AMER,EQUITY CALL,ABEVI140,2020-09-21,14.08,1
1601,ABEV3,EURO,EQUITY CALL,ABEVI168,2020-09-21,16.83,2
1608,ABEV3,AMER,EQUITY CALL,ABEVI215,2020-09-21,21.58,1
1612,ABEV3,EURO,EQUITY CALL,ABEVJ168,2020-10-19,16.83,1
1653,ABEV3,EURO,EQUITY PUT,ABEVS10,2020-07-20,10.08,7
1654,ABEV3,EURO,EQUITY PUT,ABEVS11,2020-07-20,11.08,3
1655,ABEV3,EURO,EQUITY PUT,ABEVS120,2020-07-20,12.08,20
1656,ABEV3,EURO,EQUITY PUT,ABEVS130,2020-07-20,13.08,50
1657,ABEV3,EURO,EQUITY PUT,ABEVS14,2020-07-20,14.08,64
1658,ABEV3,EURO,EQUITY PUT,ABEVS150,2020-07-20,15.08,3
1661,ABEV3,EURO,EQUITY PUT,ABEVS160,2020-07-20,15.58,3
1671,ABEV3,EURO,EQUITY PUT,ABEVS40,2020-07-20,10.58,7
1672,ABEV3,EURO,EQUITY PUT,ABEVS41,2020-07-20,11.58,8
1673,ABEV3,EURO,EQUITY PUT,ABEVS42,2020-07-20,12.58,40
1674,ABEV3,EURO,EQUITY PUT,ABEVS43,2020-07-20,13.58,25
1675,ABEV3,EURO,EQUITY PUT,ABEVS44,2020-07-20,14.58,14
1677,ABEV3,EURO,EQUITY PUT,ABEVS933,2020-07-20,9.33,1
1679,ABEV3,EURO,EQUITY PUT,ABEVS96,2020-07-20,9.73,3
1680,ABEV3,EURO,EQUITY PUT,ABEVT10,2020-08-17,10.08,2
1682,ABEV3,EURO,EQUITY PUT,ABEVT12,2020-08-17,12.08,9
1683,ABEV3,EURO,EQUITY PUT,ABEVT13,2020-08-17,13.08,19
1684,ABEV3,EURO,EQUITY PUT,ABEVT14,2020-08-17,14.08,13
1700,ABEV3,EURO,EQUITY PUT,ABEVT42,2020-08-17,12.58,5
1701,ABEV3,EURO,EQUITY PUT,ABEVT43,2020-08-17,13.58,9
1702,ABEV3,EURO,EQUITY PUT,ABEVT44,2020-08-17,14.58,3
1715,ABEV3,EURO,EQUITY PUT,ABEVU135,2020-09-21,13.58,1
1716,ABEV3,EURO,EQUITY PUT,ABEVU140,2020-09-21,14.08,1
1866,AZUL4,AMER,EQUITY CALL,AZULG1,2020-07-20,28.5,107
1867,AZUL4,AMER,EQUITY CALL,AZULG2,2020-07-20,34.5,25
1868,AZUL4,AMER,EQUITY CALL,AZULG215,2020-07-20,21.5,5
1869,AZUL4,AMER,EQUITY CALL,AZULG220,2020-07-20,22.0,3
1870,AZUL4,AMER,EQUITY CALL,AZULG3,2020-07-20,40.5,19
1874,AZUL4,AMER,EQUITY CALL,AZULG52,2020-07-20,22.5,72
1875,AZUL4,EURO,EQUITY CALL,AZULG525,2020-07-20,52.5,4
1877,AZUL4,EURO,EQUITY CALL,AZULG645,2020-07-20,64.5,10
1884,AZUL4,AMER,EQUITY CALL,AZULH230,2020-08-17,23.0,3
1885,AZUL4,EURO,EQUITY CALL,AZULH242,2020-08-17,24.25,2
1886,AZUL4,AMER,EQUITY CALL,AZULH265,2020-08-17,26.5,2
1921,AZUL4,EURO,EQUITY PUT,AZULM600,2021-01-18,60.0,1
1924,AZUL4,EURO,EQUITY PUT,AZULS215,2020-07-20,21.5,6
1928,AZUL4,EURO,EQUITY PUT,AZULS40,2020-07-20,10.5,4
1929,AZUL4,EURO,EQUITY PUT,AZULS46,2020-07-20,16.5,36
1930,AZUL4,EURO,EQUITY PUT,AZULS52,2020-07-20,22.5,5
1936,AZUL4,EURO,EQUITY PUT,AZULT152,2020-08-17,15.25,17
1939,AZUL4,EURO,EQUITY PUT,AZULT220,2020-08-17,22.0,2
1985,B3SA3,AMER,EQUITY CALL,B3SAG15,2020-07-20,45.56,1
2012,B3SA3,AMER,EQUITY CALL,B3SAG401,2020-07-20,39.56,1
2023,B3SA3,AMER,EQUITY CALL,B3SAG47,2020-07-20,47.06,2
2027,B3SA3,AMER,EQUITY CALL,B3SAG495,2020-07-20,49.56,3
2029,B3SA3,AMER,EQUITY CALL,B3SAG500,2020-07-20,50.06,2
2030,B3SA3,AMER,EQUITY CALL,B3SAG510,2020-07-20,51.06,2
2031,B3SA3,EURO,EQUITY CALL,B3SAG511,2020-07-20,50.56,1
2032,B3SA3,EURO,EQUITY CALL,B3SAG515,2020-07-20,51.56,1
2033,B3SA3,AMER,EQUITY CALL,B3SAG520,2020-07-20,52.06,25
2034,B3SA3,EURO,EQUITY CALL,B3SAG525,2020-07-20,52.56,4
2035,B3SA3,AMER,EQUITY CALL,B3SAG530,2020-07-20,53.06,29
2036,B3SA3,AMER,EQUITY CALL,B3SAG540,2020-07-20,54.06,23
2037,B3SA3,EURO,EQUITY CALL,B3SAG544,2020-07-20,54.56,5
